packet_id,bytes_in,bytes_out,duration_ms,src_port,dst_port
152,4710,4841,97,26515,80
153,1137,12170,208,29213,80
154,3496,14975,43,39061,80
155,3364,3305,308,27610,80
156,4783,10923,107,6304,80
157,3419,13099,98,14332,443
158,1910,2622,105,32890,80
159,4785,1623,156,42760,443
160,2438,1010,368,32458,80
161,398441,1286164,2366,1093,445
162,4615,14806,267,36770,80
163,3230,6755,227,55526,443
164,4292,14377,457,35290,80
165,3053,14017,159,13911,443
166,3347,2127,231,26193,80
167,359,2141,28,23474,80
168,3690,10147,199,36622,80
169,2750,5965,188,35104,443
170,818,6397,42,21097,80
171,204,14103,148,7913,443
172,2224,12971,122,45237,443
173,1360,11045,25,24515,80
174,4120,14509,478,49972,80
175,4229,4900,402,13648,443
176,3991,5526,306,25864,80
177,3652,3240,60,22292,80
178,1927,4949,40,12543,80
179,1210,8466,198,19503,443
180,452,12707,447,32701,80
181,286,2605,415,13635,443
182,800,3983,109,30571,80
183,1639,10260,429,25289,443
184,4830,5493,137,12164,443
185,3980,11351,301,10115,443
186,237,10932,432,14918,443
187,4492,7291,357,1296,80
188,1256,7906,247,12642,80
189,1220,12568,166,61625,80
190,4994,14908,328,49464,80
191,1305,10470,101,45247,80
192,4827,10685,10,45665,80
193,646,1212,311,24910,80
194,2474,12294,408,18790,80
195,4347,6314,329,49728,443
196,2588,2395,409,26910,80
197,2426,2072,394,8327,80
198,2802,11107,254,31994,443
199,1022,3199,408,16285,443
200,1219,8165,297,33530,80
201,4283,12599,407,29782,80
202,2264,11077,343,28031,80
203,754,9690,106,16236,443
204,1141,6350,10,15274,80
205,2172,10987,138,59091,443
206,1177,1087,101,53717,80
207,3447,9735,353,36200,80
208,2594,7316,187,58400,80
209,3806,13805,273,56966,443
210,2747,8106,284,45813,80
211,3763,3333,488,60804,443
212,2204,13300,46,46630,80
213,972,1285,347,24696,443
214,2705,11560,471,10685,443
215,3897,2770,77,56909,80
216,1150,697,50,46723,80
217,3733,6855,307,58244,443
218,126,12781,112,7452,80
219,2944,9748,377,39578,80
220,2720,8420,349,44911,80
221,1297,504,190,18112,443
222,3100,7632,203,9343,80
223,1124,9551,416,17981,80
224,478,13497,314,26645,443
225,2813,6766,149,47816,443
226,4937,13794,52,56331,80
227,4282,4427,36,39101,443
228,4273,8839,427,9693,443
229,2571,10719,84,34839,443
230,4094,9540,293,61117,443
231,2093,11419,363,48790,80
232,672,1648,414,55556,80
233,3283,12565,365,20766,443
234,4673,11936,395,1241,80
235,2647,3439,476,33799,443
236,3425,4848,64,13789,80
237,2494,11076,160,28655,80
238,2134,10993,384,25534,80
239,3393,14978,255,33641,80
240,2247,10854,425,4323,443
241,3093,13386,227,29395,80
242,4084,9029,324,25254,443
243,3552,2000,402,46492,80
244,698,4915,60,34391,443
245,3290,8141,128,53106,443
246,2770,14223,69,52814,80
247,1944,1383,264,31470,443
248,1781,11564,361,61663,80
249,3868,13103,87,2265,443
250,569239,1634406,5890,10142,22
251,916,10609,49,7135,443
252,2220,1107,423,65212,443
253,4946,13828,370,30192,80
254,4141,4570,184,11549,80
255,2115,6835,274,2934,80
256,1113,6183,240,39774,80
257,577,4677,65,25331,80
258,3434,14144,379,1771,443
259,1031,2650,402,61132,443
260,809479,504422,6392,39297,22
261,3818,1882,208,40115,443
262,944,11722,196,17723,443
263,4999,11305,111,44992,80
264,2679,5967,133,45319,443
265,4702,14561,71,12833,80
266,3528,3953,380,13706,443
267,1648,3367,42,61451,80
268,1499,12048,228,24159,80
269,2307,10706,330,22127,80
270,3324,10415,467,41176,443
271,2412,7457,483,33526,80
272,3111,10213,362,5820,80
273,3844,2510,102,43931,80
274,4968,8637,23,20988,443
275,3294,8078,316,15034,80
276,3229,10650,138,43141,443
277,1186,6550,304,31074,443
278,3924,13849,78,56197,443
279,653,6104,222,21510,443
280,763597,4596951,1293,18805,22
281,4048,14838,478,6093,80
282,2980,1577,113,12863,443
283,4603,13254,92,12655,80
284,4539,14916,474,55439,443
285,3459,14588,251,64012,443
286,4637,537,430,34538,443
287,825,9879,64,64126,80
288,843661,816426,8733,52613,445
289,644689,3212420,9528,32199,22
290,2870,11624,408,22625,443
291,1554,7328,419,48974,80
292,3567,12736,328,26961,80
293,984,609,482,48255,80
294,1665,8424,498,44115,443
295,707,2973,376,3722,80
296,1325,1033,138,35466,80
297,4042,5999,456,3006,80
298,2667,1493,371,53634,443
299,1427,4620,79,50171,80
300,1206,12000,69,14116,443
301,939,1242,450,43624,443
302,4226,6755,276,34107,80
303,566,8711,436,27896,80
304,2053,1141,482,47660,80
305,4700,2112,403,51138,443
306,3660,1761,125,62983,443
307,910,7986,406,35590,443
308,3069,5195,57,35305,443
309,2494,11211,406,47312,80
310,1494,8891,413,31268,80
311,3888,4685,25,12393,80
312,4182,14070,150,16409,80
313,3112,6155,192,61059,443
314,3400,3382,369,13720,80
315,432,10371,209,64815,80
316,4797,8313,173,62250,443
317,3279,10689,305,62110,80
318,900,7272,75,36836,80
319,955269,4307591,7683,42318,445
320,501,12745,44,49710,443
321,4669,973,436,58222,80
322,4947,8900,228,46080,443
323,297912,3394237,7313,13688,445
324,454838,1556681,8331,10478,3389
325,4562,13546,417,55773,80
326,4387,7328,478,13261,443
327,652,9428,485,39108,443
328,1967,1717,243,20084,443
329,2745,3017,261,46161,443
330,499373,4531535,2653,19195,445
331,4836,8572,376,43571,443
332,2962,3303,308,60646,80
333,2470,3339,139,54241,443
334,4804,14180,167,32592,80
335,4123,9833,74,28374,443
336,4722,3585,17,6601,80
337,1942,9292,97,53134,443
338,1086,4932,425,28962,80
339,2762,1498,433,42825,80
340,3778,6536,121,40797,443
341,2363,6468,334,42573,443
342,4891,12695,102,31649,443
343,1245,6667,95,60708,443
344,4544,6919,221,22480,80
345,3857,4617,400,60347,443
346,1796,10414,109,35127,80
347,3355,12331,280,5317,80
348,3578,11610,439,32929,443
349,4505,8566,389,19822,80
350,156720,1211046,4414,57237,445
351,2793,2252,239,53433,80
352,4935,3542,458,27910,443
353,2026,4365,457,4980,80
354,4679,13416,12,22697,443
355,4400,7731,395,31504,443
356,2527,2827,29,52510,443
357,1203,1386,145,26026,80
358,3564,10897,301,42714,443
359,3736,10019,479,29392,443
360,4981,8156,357,52211,443
361,4679,10192,10,57464,443
362,3546,7912,17,30230,443
363,2833,5687,304,31052,443
364,1297,11028,261,55806,80
365,2383,4890,35,4705,80
366,1758,6844,161,26551,80
367,1626,8858,404,32735,80
368,439,7674,426,42277,80
369,2619,14750,316,22237,443
370,1380,1427,116,48804,80
371,4726,4328,457,19115,443
372,4927,1866,440,25944,80
373,2099,1001,263,10556,80
374,2227,4411,126,12308,443
375,4587,6732,218,40986,80
376,4059,1136,50,27816,443
377,246,13352,178,42021,443
378,446,2368,84,53897,443
379,3829,1299,165,21802,443
380,2636,14190,254,13727,443
381,3510,9664,246,38867,443
382,1191,12283,86,43618,443
383,4909,6883,330,11996,443
384,719140,3102123,3315,36471,22
385,3699,2846,396,8886,443
386,4188,7258,206,2353,80
387,1026,5414,62,33184,443
388,3462,3134,447,30382,443
389,2616,2891,169,4360,443
390,3019,10756,227,23616,443
391,662299,1262603,3859,41531,22
392,615,13279,341,22270,443
393,1754,10588,221,45680,443
394,2812,8957,247,12086,443
395,3897,8790,251,62053,443
396,2070,6186,398,48336,80
397,2370,4982,59,40807,80
398,652422,4437112,7298,40991,445
399,3805,5651,482,11057,80
400,1461,14798,128,13129,80
401,1301,5400,98,19209,443
402,2863,4401,168,42345,443
403,4916,9867,410,6076,80
404,319,8358,113,60024,80
405,691231,2773491,9938,2183,3389
406,426,4722,399,48723,80
407,818,12256,67,46289,80
408,2382,2185,227,32178,80
409,660266,2927302,6587,38459,22
410,517,4893,372,12296,80
411,3229,3872,408,20221,80
412,4251,3120,94,54403,443
413,2153,14974,73,43869,443
414,3075,4831,416,28512,443
415,2636,7113,125,58381,80
416,372,1423,308,5934,80
417,709018,3173075,2364,31956,3389
418,1086,5254,41,27444,443
419,1741,1377,73,43812,443
420,2132,14359,460,36941,80
421,4020,12618,202,29296,443
422,3860,9746,361,28880,443
423,4286,12217,450,45256,80
424,3320,6581,441,53225,80
425,642387,2144268,9372,23054,3389
426,1111,3417,230,35721,80
427,1283,11734,399,62866,443
428,1206,3922,72,35542,80
429,4173,4449,31,19603,80
430,3625,4290,152,20799,80
431,1676,9447,497,16401,443
432,3940,7211,443,62748,443
433,1634,8953,256,65477,80
434,4707,12712,323,3537,443
435,672,12451,447,4148,80
436,3111,11712,202,43620,80
437,2416,6375,110,37492,80
438,2453,13120,175,10411,443
439,2599,4181,413,23756,443
440,3196,11604,400,6280,80
441,3078,12412,212,50420,443
442,2921,13965,239,17349,80
443,801,1309,198,15292,443
444,2857,4903,317,35620,443
445,4414,5302,103,52187,443
446,3216,10271,203,43864,443
447,4227,1483,246,59252,443
448,1520,9334,246,4897,443
449,1146,14561,68,18605,80
450,1742,3020,281,41383,443
451,2220,2136,158,41641,443
452,1291,6383,177,65476,80
453,1950,1667,371,47824,80
454,4838,7921,315,28054,443
455,1671,14222,206,25215,80
456,225,14039,427,9771,443
457,3609,2494,356,32227,80
458,2730,1006,416,20009,80
459,1401,6881,18,40588,443
460,2566,7533,210,8622,443
461,3726,14690,452,33148,80
462,424,670,377,15354,80
463,763,12629,337,59812,443
464,1550,664,352,61099,80
465,1311,12778,171,42624,443
466,4810,12664,478,52846,443
467,4706,8010,307,58587,80
468,1622,2292,80,16257,80
469,419,6458,481,17699,443
470,1724,9381,421,24336,443
471,4455,710,145,10732,443
472,978,13481,487,26181,80
473,1443,2502,132,27828,443
474,2619,14085,494,29280,80
475,3617,7578,322,53843,80
476,1763,7378,331,62622,443
477,2794,7553,434,24983,443
478,2248,9355,27,53909,443
479,4028,8797,373,14574,80
480,2398,3235,221,53902,443
481,1294,7122,475,54366,80
482,899,12411,83,34119,443
483,3227,13990,78,51667,80
484,1336,1833,106,7790,80
485,3151,13631,475,49625,80
486,1421,5880,480,43979,443
487,3603,11464,45,59888,80
488,287288,1116814,1909,31122,22
489,2408,9141,95,40200,80
490,3098,13713,358,5892,80
491,2005,3007,401,61318,443
492,4897,14153,250,41806,443
493,1715,11596,390,33207,80
494,749,2216,328,39475,80
495,745,3671,71,37890,80
496,3113,9505,97,40965,80
497,1354,7882,193,34996,80
498,288,11904,311,40030,443
499,3586,1967,333,23373,443
500,3539,3334,315,56402,80
501,4387,990,334,27966,80
502,3970,7080,373,54577,443
503,1423,4770,204,6174,80
504,2251,795,370,8529,443
505,4287,10159,70,64852,443
506,3075,6674,387,21707,80
507,4134,4542,375,9583,443
508,1061,547,456,6951,443
509,2139,2203,111,23489,443
510,1749,6735,293,61501,443
511,2214,2391,39,43087,443
512,3282,11699,130,19719,80
513,1554,1689,101,36186,80
514,2076,14769,124,20717,80
515,3251,863,150,56789,80
516,4898,8871,203,56264,443
517,4551,2306,356,36304,80
518,3821,10364,243,24755,80
519,2621,13847,10,43531,80
520,844,7501,498,25817,80
521,3323,1714,66,5850,80
522,2258,11017,232,31993,443
523,4937,12808,242,24932,80
524,602991,3840539,6195,65167,3389
525,2970,10272,494,36812,443
526,975941,665207,6998,65462,445
527,94028,150096,8081,4540,22
528,1479,8730,116,30210,443
529,4047,1413,212,57486,443
530,4706,9728,140,3996,80
531,523,11045,294,62290,443
532,1321,1363,159,29610,443
533,1297,11733,463,19289,80
534,2315,9406,359,62253,443
535,4406,2936,416,18360,80
536,3281,3462,127,34968,80
537,254,5610,283,40535,80
538,1886,2052,10,44087,443
539,1121,8421,17,4908,443
540,554,7865,418,35206,80
541,2508,14582,192,39569,443
542,1409,2162,209,36359,443
543,1697,1124,458,48321,443
544,3935,10647,40,49176,80
545,1592,9904,399,58152,443
546,4969,11200,132,34010,80
547,666,8841,435,12444,443
548,2327,11246,432,21995,443
549,2335,3310,177,23796,80
550,3501,6372,77,46401,80
551,76512,578020,3293,14083,22
552,3489,6993,415,45257,443
553,3314,14511,100,3368,443
554,2838,1888,444,17588,443
555,4302,3566,495,54768,443
556,4918,12024,459,22160,80
557,3606,3378,478,37574,80
558,1315,5644,272,18339,443
559,3653,1781,244,63225,80
560,2802,3210,496,24287,80
561,1843,3084,231,43372,443
562,1346,9552,115,62887,443
563,3787,3189,97,16582,80
564,1758,8781,385,11383,80
565,4387,8482,15,25407,80
566,4782,9423,336,10091,80
567,4054,7970,10,19476,443
568,1988,11730,178,56152,443
569,2913,6760,15,14214,80
570,555,9431,159,44816,443
571,4605,4311,455,40523,443
572,932,5560,44,10022,80
573,1690,11750,200,2924,443
574,333,10496,464,60369,80
575,1330,7601,126,40141,443
576,1305,3743,174,25619,443
577,3756,6497,423,52882,80
578,138,5924,313,13150,443
579,3018,8839,404,45379,443
580,4705,2119,36,31632,443
581,3685,9222,175,14552,443
582,155,7815,480,56984,80
583,794,7433,312,56877,443
584,548,10357,22,33532,443
585,4687,8222,454,56199,80
586,3687,12358,490,19027,80
587,1052,4329,243,7412,443
588,761,4551,421,63278,443
589,309,12102,187,38015,80
590,2407,9014,116,24017,80
591,3457,14702,474,4327,443
592,2200,5662,64,3221,80
593,3731,13198,465,51225,443
594,3994,823,131,43467,80
595,1814,13968,181,59537,443
596,4237,14432,419,51880,80
597,1038,8050,100,10717,443
598,4430,5089,304,2054,443
599,269,3166,228,17224,80
600,1549,10483,227,24282,443
601,147,13301,449,35417,443
602,1827,4847,340,34602,443
603,371,14374,158,65078,80
604,2833,12231,88,56885,80
605,2281,4396,104,35843,443
606,2941,13434,228,50531,443
607,3949,10210,395,47433,443
608,3387,12670,222,4479,80
609,2730,6573,52,34967,443
610,2558,8867,309,33128,443
611,1845,7797,105,3019,443
612,1341,9751,144,43756,80
613,481,3710,455,53404,80
614,1619,9450,467,29818,80
615,1617,4324,412,41647,80
616,3360,14653,170,33255,443
617,1918,2328,323,13869,80
618,184,5337,353,35154,80
619,2909,6960,200,42955,443
620,908,5931,274,62930,443
621,4952,12488,247,56284,443
622,210,1971,73,31119,443
623,1119,2069,190,36774,443
624,2450,1908,201,7214,80
625,1050,13308,290,12177,443
626,2062,4114,308,2752,443
627,3921,13198,211,11846,80
628,944,1375,114,41705,80
629,3405,12436,108,61578,443
630,3306,14716,148,16978,80
631,1716,14706,297,55174,80
632,4493,9297,387,19556,443
633,4532,10220,393,10081,80
634,4430,9047,91,34414,80
635,3171,14297,315,55487,80
636,4706,8155,310,1454,80
637,4449,14378,407,7895,80
638,1451,13925,261,34263,80
639,2587,6644,271,3851,80
640,1119,2336,176,13238,80
641,1325,12698,328,19294,80
642,3660,9363,367,2452,443
643,3896,7377,444,40950,80
644,917029,963334,3323,45534,445
645,1990,13100,51,39932,443
646,3430,9545,83,30298,443
647,696,5458,441,27044,443
648,279,6374,222,24989,443
649,3813,12207,415,43000,443
650,1124,856,470,4592,443
651,3413,1447,239,43944,443
652,2318,13028,480,27188,80
653,709,8800,210,16330,443
654,3633,2134,38,3568,80
655,3976,14823,356,19170,443
656,1634,3586,474,32903,443
657,1698,13915,91,5839,443
658,3195,1375,228,4537,80
659,631,9567,350,44197,443
660,1942,6471,301,59463,443
661,2592,10527,238,27790,443
662,996,3695,167,40617,80
663,607,13586,365,40010,80
664,4569,7287,38,36414,443
665,1829,6201,166,37764,80
666,526,4174,109,37091,443
667,1948,5790,46,62204,443
668,710491,2657487,5736,62314,3389
669,3966,4270,161,62982,443
670,911,9250,72,42545,80
671,3657,12330,350,58961,80
672,1943,4307,57,13528,80
673,677252,1034832,7605,42271,3389
674,4127,14879,407,18346,443
675,1808,6702,132,44829,443
676,1905,4973,352,27644,443
677,4156,1854,232,13900,443
678,4844,10254,445,12921,80
679,2572,1558,491,37107,443
680,935616,715509,4903,1402,3389
681,3380,7069,35,10563,443
682,3575,14591,296,2008,443
683,4975,4423,191,58252,80
684,145,10958,499,13407,443
685,2277,4937,379,44412,80
686,599139,3578207,6146,57792,22
687,445,10291,176,6369,80
688,993914,4628520,2021,8575,22
689,648,6721,194,63029,443
690,1279,5567,454,10809,443
691,632,2473,185,48482,80
692,2073,11276,476,5635,443
693,2970,7454,27,26197,80
694,156,7726,375,49265,443
695,2779,2526,212,7404,443
696,3947,10825,22,61360,443
697,654,5945,147,43122,443
698,3979,9160,376,32510,80
699,994,13304,373,11069,443
700,3075,782,108,56390,80
701,2839,10026,53,8594,443
702,604,1319,110,28977,80
703,2296,919,27,3368,80
704,590,3450,257,39734,443
705,3016,3281,43,24119,443
706,1737,14717,375,51228,80
707,1115,12315,227,42079,443
708,3324,14625,484,16804,443
709,3555,552,234,53451,443
710,2416,4593,290,43914,443
711,712182,2466925,6888,38374,22
712,3885,3369,363,48179,80
713,1629,6253,412,23961,443
714,2305,14679,170,21395,80
715,1124,1136,57,44135,80
716,299,3729,452,26865,443
717,4611,5667,327,45101,80
718,2576,3786,498,6411,80
719,4549,9177,38,53725,443
720,1004,11245,35,64288,80
721,980969,406371,9319,47651,3389
722,1628,5985,161,57404,443
723,4640,9182,50,18892,80
724,791,13821,424,18448,80
725,3540,14696,290,58342,443
726,3226,12683,330,40702,443
727,2041,772,129,37797,80
728,1160,7905,481,12216,80
729,218923,1093515,5031,36337,445
730,2344,3821,172,8613,80
731,1322,14860,174,33615,443
732,3171,5916,465,44290,443
733,288,14862,197,23139,443
734,265,11687,268,51432,443
735,4784,12583,112,31029,80
736,3902,13687,359,36181,80
737,664,6976,141,38321,80
738,256,4561,426,6593,80
739,3770,620,498,5087,443
740,4649,11960,473,19539,443
741,3348,14007,191,30729,80
742,3699,7789,326,47855,80
743,3782,9656,492,8816,80
744,602,4148,333,30239,443
745,1891,10056,149,61225,443
746,1763,5481,351,14627,80
747,439374,1568297,1839,19705,445
748,959,10197,158,4998,80
749,142446,3989785,4592,64035,22
750,4396,549,396,16411,443
751,3965,3383,314,33835,80
752,1474,11948,159,11836,443
753,1288,3950,25,13073,80
754,3446,13212,492,8674,80
755,4991,11132,300,49787,443
756,1273,5818,353,37585,80
757,1350,9068,242,60355,443
758,1135,1833,382,45939,443
759,3737,5332,275,16415,80
760,3473,9906,251,36981,443
761,442,13515,327,50896,443
762,3484,13942,161,51900,80
763,1037,12880,172,48291,443
764,4418,12013,210,42046,443
765,2067,7615,218,3835,80
766,1915,6176,416,50996,80
767,4566,6424,79,64655,443
768,2385,12658,98,17754,443
769,1796,11551,376,13341,80
770,780251,2525478,7709,14092,445
771,2876,2458,375,16949,443
772,620,4954,262,22517,443
773,179,7572,238,57628,80
774,4171,8493,238,2558,80
775,4861,9259,446,9628,443
776,1672,1498,80,16404,443
777,1441,13234,265,36846,80
778,1577,4357,233,8198,443
779,1161,7403,366,49461,80
780,562,1091,187,60576,443
781,2030,4408,497,39230,80
782,1992,14563,64,60182,80
783,1972,652,236,64954,443
784,1686,4764,211,48155,443
785,1243,13687,312,31759,80
786,1675,12653,201,47078,80
787,1290,7053,154,19792,80
788,714,5655,51,10166,80
789,3167,4194,408,46442,80
790,1715,2472,183,47108,443
791,4783,8920,482,50026,443
792,1960,7738,434,48099,80
793,294,10751,63,31768,80
794,2019,14665,325,23563,443
795,2416,13951,311,1785,443
796,1512,7981,369,49082,443
797,3935,11777,342,14353,80
798,4820,12119,443,43870,443
799,2159,7577,151,31540,443
800,2622,3739,29,56256,80
801,422640,776018,3387,47621,445
802,4096,14168,166,23628,443
803,2257,7806,352,10210,80
804,3603,966,365,44273,80
805,3551,7353,407,23426,80
806,3056,4330,59,61355,80
807,1331,13361,75,37101,80
808,330,11629,203,27970,443
809,4364,13060,397,49260,80
810,4084,1352,490,8667,80
811,2437,11771,469,51308,443
812,1499,9837,103,23972,80
813,2438,11236,446,11504,80
814,3829,4897,252,37404,80
815,621,3417,424,45030,80
816,2087,12897,28,58465,80
817,1543,1634,275,34815,80
818,3772,1146,144,26618,443
819,792246,4466769,2774,4337,445
820,4331,13807,163,58847,80
821,706,2286,255,26072,80
822,1891,7166,309,35634,80
823,2881,13058,28,6969,443
824,1815,14699,247,26338,443
825,481,7368,105,1252,80
826,636,4048,226,1758,443
827,1207,1523,330,3600,80
828,3108,2748,410,28255,80
829,1453,10792,189,54669,80
830,646,5870,219,57007,443
831,874481,2803003,5718,47737,22
832,3590,13165,101,33977,443
833,3473,1260,303,52313,80
834,4568,7063,223,51452,80
835,1776,7943,325,29969,80
836,3193,2738,399,20333,80
837,2660,4778,421,29899,443
838,424,14381,57,19413,80
839,479,5908,339,26635,80
840,1491,13258,137,58007,80
841,676,14772,493,41784,443
842,538,1855,324,57975,443
843,2754,12399,127,64953,443
844,3598,14258,203,29707,443
845,4507,5293,104,53465,80
846,577907,3235583,1707,3644,22
847,1761,835,394,16396,443
848,1487,6852,305,58544,443
849,774,12473,178,51021,80
850,3646,9504,50,38972,80
851,3773,11858,333,52015,80
852,3081,531,235,57539,80
853,181,14396,47,19543,80
854,4790,10691,106,2862,443
855,2543,3485,324,64225,443
856,3262,5323,30,53318,80
857,4362,5285,136,5425,443
858,1245,12431,234,56976,443
859,4256,2527,32,32424,80
860,4242,6383,471,1667,443
861,4872,14222,283,11725,443
862,110,8433,488,59400,80
863,850,2582,305,11561,443
864,432,4078,272,25542,443
865,384,11115,88,5281,80
866,1134,12419,382,29025,80
867,2498,12910,184,42309,80
868,3406,12941,483,38593,443
869,3535,13440,294,9601,443
870,3364,12615,495,41862,80
871,2688,3564,342,32162,80
872,717,13000,264,11964,80
873,1567,12374,293,34024,443
874,3961,13670,492,56189,443
875,710,7137,152,28287,443
876,1359,14285,21,27758,443
877,4147,1239,18,50539,80
878,4768,3850,29,14687,443
879,667,4020,383,3362,80
880,666,7704,159,39394,443
881,1976,11436,433,60320,80
882,3371,10858,213,19164,80
883,4836,10333,339,33535,80
884,4018,13025,362,17090,80
885,2424,11143,47,22747,80
886,4604,9025,118,1359,80
887,3960,546,56,49649,80
888,3913,10009,321,56965,80
889,3544,10018,117,12774,80
890,3106,4650,190,24034,443
891,1194,11225,75,3589,443
892,863,11368,396,24641,80
893,4744,10506,446,7758,443
894,4068,12783,67,55937,80
895,4900,2172,24,18220,443
896,884,6452,84,58646,443
897,3747,1114,97,47588,80
898,2954,9813,263,46160,443
899,1744,7060,345,64976,80
900,1969,3767,316,56921,443
901,3717,4007,209,2860,80
902,660,5183,52,5601,80
903,4547,3902,104,52355,443
904,1436,12263,270,42566,443
905,3898,5828,269,55710,443
906,3148,3386,153,6090,80
907,3168,4473,137,64480,443
908,1453,11324,274,55913,443
909,592,4939,363,3294,80
910,1818,14163,292,13776,443
911,3527,9042,429,20560,80
912,2143,4306,326,23825,443
913,2987,634,298,44652,80
914,738,13431,158,16515,443
915,2782,9551,76,21086,80
916,1231,5067,480,58317,80
917,2816,12577,414,5141,80
918,930,14573,64,29327,80
919,653,4406,334,41151,443
920,4557,806,189,42789,80
921,894719,2286434,8268,54960,22
922,889411,3713145,8953,18189,3389
923,1946,12991,38,59436,80
924,2551,9710,172,39560,443
925,2020,14213,362,14183,443
926,1689,4933,452,44401,80
927,1423,3409,161,40577,80
928,4144,11046,74,34276,80
929,674,10737,183,7386,80
930,856,6169,419,24674,443
931,4832,14326,305,21513,443
932,540,8990,237,11768,80
933,2276,8365,162,39076,443
934,2818,11685,197,27675,80
